ID;VL_FATU;VL_SLDO;DT_ABRT;DS_CNAE;DT_REFE
CNPJ_00001;289255;25389;29/07/2021;Extração de minério de ferro;31/01/2025
CNPJ_00002;832495;118277;16/02/2017;Geração de energia elétrica;31/01/2025
CNPJ_00003;262869;-9899;26/09/2019;Cultivo de soja;31/01/2025
CNPJ_00004;2017818;128244;23/11/2016;Transporte ferroviário de carga;31/01/2025
CNPJ_00005;82371;1032;12/02/2022;Produção cinematográfica;31/01/2025
CNPJ_00006;18178716;-581545;28/06/2017;Comércio varejista de combustíveis;31/01/2025
CNPJ_00007;1701028;26105;09/02/2020;Distribuição de energia elétrica;31/01/2025
CNPJ_00008;1002628;-29683;10/07/2018;Extração de petróleo e gás natural;31/01/2025
CNPJ_00009;166480;-11553;14/06/2019;Administração pública;31/01/2025
CNPJ_00010;2233586;-105957;12/08/2014;Produção de ferro-gusa;31/01/2025
CNPJ_00011;31803040;-1193282;18/01/1994;Atividades hospitalares;31/01/2025
CNPJ_00012;656692;-50302;13/04/2019;Comércio atacadista de bebidas;31/01/2025
CNPJ_00013;2610501;-57846;30/03/2022;Engenharia civil;31/01/2025
CNPJ_00014;185527;-17259;26/12/2023;Educação superior;31/01/2025
CNPJ_00015;1969674;182895;13/05/2019;Restaurantes e similares;31/01/2025
CNPJ_00016;362664;-20292;20/04/2018;Comércio atacadista de alimentos;31/01/2025
CNPJ_00017;174296921;-14191420;30/09/2011;Defesa nacional;31/01/2025
CNPJ_00018;175251;13594;05/06/2019;Cultivo de soja;31/01/2025
CNPJ_00019;2344200;341593;15/04/2021;Produção de alumínio;31/01/2025
CNPJ_00020;2647053;-152009;08/08/2019;Construção de rodovias;31/01/2025
CNPJ_00021;99229866;1336175;16/10/2009;Construção de barragens;31/01/2025
CNPJ_00022;1646496;85604;29/04/2021;Defesa nacional;31/01/2025
CNPJ_00023;10745208;-639614;13/07/2021;Educação superior;31/01/2025
CNPJ_00024;234499;21432;11/03/2023;Engenharia civil;31/01/2025
CNPJ_00025;1416231;101320;20/12/2014;Atividades hospitalares;31/01/2025
CNPJ_00026;1988975;-259925;03/08/2018;Geração de energia elétrica;31/01/2025
CNPJ_00027;99074;-5878;31/03/2021;Defesa nacional;31/01/2025
CNPJ_00028;2732620;97633;11/07/2022;Fabricação de automóveis;31/01/2025
CNPJ_00029;114440;-2710;22/12/2023;Saneamento básico;31/01/2025
CNPJ_00030;188626;8697;18/04/2021;Extração de minério de ferro;31/01/2025
CNPJ_00031;825747;-30076;11/09/2018;Construção de barragens;31/01/2025
CNPJ_00032;96400;-5987;23/12/2023;Correios e entregas expressas;31/01/2025
CNPJ_00033;2136481;-151605;27/04/2014;Planos de saúde;31/01/2025
CNPJ_00034;213367;-1655;18/02/2020;Telecomunicações sem fio;31/01/2025
CNPJ_00035;1331544;103921;10/07/2019;Saneamento básico;31/01/2025
CNPJ_00036;751334;-71239;23/04/2014;Obras de infraestrutura elétrica;31/01/2025
CNPJ_00037;1704447;-44850;22/09/2020;Comércio atacadista de calçados;31/01/2025
CNPJ_00038;1795842;-54816;26/01/2018;Construção de rodovias;31/01/2025
CNPJ_00039;4443979;-107882;25/05/2009;Telecomunicações sem fio;31/01/2025
CNPJ_00040;243152;-12672;18/08/2022;Hotéis e pousadas;31/01/2025
CNPJ_00041;144122843;2175739;05/09/2006;Fabricação de automóveis;31/01/2025
CNPJ_00042;193452;-18100;14/06/2019;Restaurantes e similares;31/01/2025
CNPJ_00043;118592;9226;17/10/2023;Comércio atacadista de calçados;31/01/2025
CNPJ_00044;2306070;-114884;01/07/2017;Construção de rodovias;31/01/2025
CNPJ_00045;240781;8031;22/03/2020;Educação superior;31/01/2025
CNPJ_00046;154453;-7011;19/12/2019;Comércio varejista de alimentos;31/01/2025
CNPJ_00047;84543;8090;19/08/2022;Consultoria empresarial;31/01/2025
CNPJ_00048;986403;-120766;24/03/2018;Comércio varejista de alimentos;31/01/2025
CNPJ_00049;696657;29072;10/06/2021;Geração de energia elétrica;31/01/2025
CNPJ_00050;902410;107424;05/07/2019;Construção de barragens;31/01/2025
CNPJ_00051;175486;16462;05/10/2020;Atividades hospitalares;31/01/2025
CNPJ_00052;170965;-6468;10/10/2019;Geração de energia elétrica;31/01/2025
CNPJ_00053;13086903;1269768;09/06/2012;Saneamento básico;31/01/2025
CNPJ_00054;129096;5687;03/05/2021;Telecomunicações sem fio;31/01/2025
CNPJ_00055;2148804;-90096;01/07/2018;Armazenamento geral;31/01/2025
CNPJ_00056;233204;-2178;20/03/2019;Construção de edifícios;31/01/2025
CNPJ_00057;188899;-3361;12/07/2020;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00058;2696307;133012;22/01/2019;Obras de infraestrutura elétrica;31/01/2025
CNPJ_00059;293956;-8600;05/11/2020;Armazenamento geral;31/01/2025
CNPJ_00060;2208150;-164322;03/08/2022;Comércio varejista de alimentos;31/01/2025
CNPJ_00061;266114;-5745;26/06/2020;Atividades de bancos múltiplos;31/01/2025
CNPJ_00062;1901121;-68875;28/06/2014;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00063;202382;16253;31/03/2021;Correios e entregas expressas;31/01/2025
CNPJ_00064;51942;5062;08/01/2022;Serviços de tecnologia da informação;31/01/2025
CNPJ_00065;1352525;-119983;19/06/2017;Cultivo de trigo;31/01/2025
CNPJ_00066;1275708;119545;24/10/2016;Montagem industrial;31/01/2025
CNPJ_00067;182887;824;24/09/2023;Construção de edifícios;31/01/2025
CNPJ_00068;76136353;-859376;29/01/2009;Comércio atacadista de medicamentos;31/01/2025
CNPJ_00069;2204073;-218059;07/06/2015;Comércio varejista de alimentos;31/01/2025
CNPJ_00070;295964;14420;24/09/2019;Extração de minério de ferro;31/01/2025
CNPJ_00071;269800;3225;22/01/2019;Fabricação de produtos químicos;31/01/2025
CNPJ_00072;72226;2146;30/11/2023;Serviços de tecnologia da informação;31/01/2025
CNPJ_00073;1658037;122944;22/02/2018;Fabricação de produtos químicos;31/01/2025
CNPJ_00074;69788;3023;18/06/2019;Transporte rodoviário de carga;31/01/2025
CNPJ_00075;2298109;-223940;05/12/2020;Fabricação de automóveis;31/01/2025
CNPJ_00076;686771;40324;14/07/2014;Administração pública;31/01/2025
CNPJ_00077;203754;26009;17/08/2021;Planos de saúde;31/01/2025
CNPJ_00078;40259354;2902016;10/05/2010;Consultoria empresarial;31/01/2025
CNPJ_00079;71470;-326;10/08/2022;Fabricação de automóveis;31/01/2025
CNPJ_00080;137245;-8875;25/09/2019;Defesa nacional;31/01/2025
CNPJ_00081;58465;1893;19/12/2019;Defesa nacional;31/01/2025
CNPJ_00082;1051801;37385;28/06/2022;Armazenamento geral;31/01/2025
CNPJ_00083;25443324;2473054;30/01/2006;Geração de energia elétrica;31/01/2025
CNPJ_00084;394518;54834;02/11/2021;Comércio atacadista de tecidos;31/01/2025
CNPJ_00085;280618;-28147;09/01/2019;Hotéis e pousadas;31/01/2025
CNPJ_00086;170731677;6880921;16/08/1995;Padaria e confeitaria;31/01/2025
CNPJ_00087;114374372;4590751;10/02/2015;Telecomunicações sem fio;31/01/2025
